run,n_folds,mean_iou,std_iou,mean_dice,std_dice,mean_binary_iou,best_fold_iou,best_iou,best_fold_dice,best_dice
utooth_10f_v1,10,0.733110998282209,0.11537930840229389,0.813604026082903,0.11816820216780112,0.7360563919058768,1,0.8220512866973877,1,0.8998617053031921
utooth_10f_v2,10,0.8212647786736488,0.05772630582040936,0.8926792466640473,0.058873822147473616,0.818417127430439,8,0.8697701841592789,8,0.9301714152097702
utooth_10f_v3,10,0.8426206642389298,0.05551273641831928,0.9014784729480743,0.05901426062212454,0.8428910967707633,4,0.8869544863700867,4,0.9395662188529968
utooth_10f_v4,10,0.8213306123018265,0.0634074345126281,0.8866561040282249,0.06661490458016352,0.8196356660127639,8,0.8675631582736969,8,0.9287931621074677
utooth_10f_v5,2,0.6144394464790821,0.2023706369102001,0.6924039363861084,0.20595855712890623,0.6130122161092004,1,0.8168100833892822,1,0.8983624935150146
utooth_5f_v1,5,0.7050581673118803,0.05985823308829424,0.7894806950953273,0.06821022744141432,0.7097651283608544,3,0.789265513420105,3,0.8747062881787618
