fold_idx,best_val_loss,best_val_accu,best_epoch,final_epoch,train_samples,val_samples,training_time_seconds,early_stopped,best_model_path
0,0.14345324039459229,0.6248473525047302,0,50,43,5,750.4773299694061,False,outputs/runs/utooth_10f_v4/checkpoints/fold_0/utooth-epoch=45-val_loss=0.1435.ckpt
1,0.3069162368774414,0.5877790451049805,0,50,43,5,981.806494474411,False,outputs/runs/utooth_10f_v4/checkpoints/fold_1/utooth-epoch=46-val_loss=0.3069.ckpt
2,0.1418454647064209,0.6270825266838074,0,50,43,5,989.5326216220856,False,outputs/runs/utooth_10f_v4/checkpoints/fold_2/utooth-epoch=42-val_loss=0.1418.ckpt
3,0.2656528949737549,0.5527195930480957,0,50,43,5,976.0659589767456,False,outputs/runs/utooth_10f_v4/checkpoints/fold_3/utooth-epoch=43-val_loss=0.2657.ckpt
4,0.10847389698028564,0.5924150943756104,0,50,43,5,943.2921164035797,False,outputs/runs/utooth_10f_v4/checkpoints/fold_4/utooth-epoch=43-val_loss=0.1085.ckpt
5,0.14699941873550415,0.5964417457580566,0,50,43,5,868.1705043315887,False,outputs/runs/utooth_10f_v4/checkpoints/fold_5/utooth-epoch=47-val_loss=0.1470.ckpt
6,0.09745687246322632,0.6357517242431641,0,50,43,5,883.2701745033264,False,outputs/runs/utooth_10f_v4/checkpoints/fold_6/utooth-epoch=41-val_loss=0.0975.ckpt
7,0.12848323583602905,0.6077484488487244,0,50,43,5,990.1372766494751,False,outputs/runs/utooth_10f_v4/checkpoints/fold_7/utooth-epoch=46-val_loss=0.1285.ckpt
8,0.09328478574752808,0.6628873348236084,0,50,44,4,1005.9680337905884,False,outputs/runs/utooth_10f_v4/checkpoints/fold_8/utooth-epoch=48-val_loss=0.0933.ckpt
9,0.1414628028869629,0.6093724966049194,0,50,44,4,945.999609708786,False,outputs/runs/utooth_10f_v4/checkpoints/fold_9/utooth-epoch=38-val_loss=0.1415.ckpt
